"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Ecuador","EC010150",2015,2230,0,NA,0,0,0,0,0,5,2230,13,1906,8,324,5,1953,10,277,3,357873.72958374,0.765,0.2173,0.1576,0.7653,75.9868,0,7.8098,0.2173,0,0,0,0.2173,8.0271,440099647,0,0,0,67,0
"Ecuador","EC010150",2016,2603,0,NA,0,0,0,2,2,5,2601,13,2244,8,357,5,2289,10,312,3,363167.379269409,0.762,0.2199,0.1576,0.7695,75.974,0,7.6281,0.2199,0,0,0,0.2199,7.848,452710974,0,0,0,67,0
"Ecuador","EC010350",2015,170,0,NA,0,0,0,0,0,5,170,13,146,8,24,5,166,10,4,3,22607.0182189941,0.765,2.8304,1.0552,10.4389,69.4611,0,15.1441,2.8304,0,0,0,2.8304,17.9745,269915711,0,0,0,37,0
"Ecuador","EC010350",2016,189,0,NA,0,0,0,0,0,5,189,13,150,8,39,5,186,10,3,3,22941.4200302124,0.762,2.8445,1.0786,10.4018,69.4894,0,15.1911,2.8445,0,0,0,2.8445,18.0356,277656298.5,0,0,0,37,0
"Ecuador","EC010350",2019,202,0,NA,0,0,0,0,0,5,202,13,139,8,63,5,200,10,2,3,23944.6254638671,0.76,3.6979,1.3835,13.3122,70.1239,0,13.3199,3.6979,0,0,0,3.6979,17.0178,274279840.5,0,0,0,37,0
"Ecuador","EC010550",2015,218,0,NA,0,0,0,0,0,5,218,13,183,8,35,5,215,10,3,3,11409.7610168457,0.765,8.3266,1.3679,15.3825,85.2312,0,21.6179,8.3266,0,0,0,8.3266,29.9445,326498901.5,0,0,0,43,0
"Ecuador","EC010550",2016,222,0,NA,0,0,0,0,0,5,222,13,154,8,68,5,214,10,8,3,11578.5336502075,0.762,8.1875,1.3484,14.8751,85.4886,0,21.7982,8.1875,0,0,0,8.1875,29.9857,335973935,0,0,0,43,0
"Ecuador","EC010550",2019,88,0,NA,0,0,0,0,0,5,88,13,19,8,69,5,82,10,6,3,12084.8515502929,0.76,8.4814,1.5438,16.2921,84.7643,0,22.9659,8.4814,0,0,0,8.4814,31.4473,331945049.5,0,0,0,43,0
"Ecuador","EC010950",2015,128,0,NA,0,0,0,0,0,5,128,13,108,8,20,5,126,10,2,3,12648.9675524234,0.765,19.4207,1.3111,30.3955,87.6191,0,54.2989,19.4207,0,0,0,19.4207,73.7196,873524865.5,0,0,0,129,0
"Ecuador","EC010950",2016,127,0,NA,0,0,0,0,0,5,127,13,104,8,23,5,126,10,1,3,12836.070412445,0.762,19.0468,1.3247,29.9933,87.6108,0,54.4556,19.0468,0,0,0,19.0468,73.5024,898066222,0,0,0,129,0
"Ecuador","EC010950",2019,181,0,NA,0,0,0,0,0,5,181,13,146,8,35,5,179,10,2,3,13397.3789925098,0.76,19.4595,1.5828,31.4796,87.2775,0,55.9737,19.4595,0,0,0,19.4595,75.4332,887246907,0,0,0,129,0
"Ecuador","EC011350",2015,1,0,NA,0,0,0,0,0,5,1,13,1,8,0,5,0,10,1,3,2599.83823490142,0.765,49.7371,2.3898,51.7448,91.9126,0,18.6586,49.7371,0,0,0,49.7371,68.3957,404421104.5,0,0,0,56,0
"Ecuador","EC011350",2016,1,0,NA,0,0,0,0,0,5,1,13,1,8,0,5,1,10,0,3,2638.29490642547,0.762,49.3637,2.4208,52.4474,91.7608,0,19.3836,49.3637,0,0,0,49.3637,68.7473,416035788.5,0,0,0,56,0
"Ecuador","EC030150",2015,752,0,NA,0,0,0,1,1,5,751,13,662,8,89,5,739,10,12,3,42305.2635803222,0.765,4.1006,2.7437,19.2892,63.0311,0,10.1131,4.1006,0,0,0,4.1006,14.2137,350309672.5,0,0,0,48,0
"Ecuador","EC030150",2016,1046,0,NA,0,0,0,0,0,5,1046,13,928,8,118,5,1034,10,12,3,42931.0407608032,0.762,4.0361,2.7268,19.0157,62.951,0,9.9433,4.0361,0,0,0,4.0361,13.9794,360571687.5,0,0,0,48,0
"Ecuador","EC030150",2019,309,0,NA,0,0,0,1,1,5,308,13,189,8,119,5,295,10,13,3,44808.372302246,0.76,4.0157,2.6759,19.0104,62.8022,0,11.2983,4.0157,0,0,0,4.0157,15.314,356198318.5,0,0,0,48,0
"Ecuador","EC050150",2015,6,0,NA,0,0,0,0,0,5,6,13,6,8,0,5,6,10,0,3,113382.8654356,0.765,0.1051,0.053,0.3512,75,0,35.8112,0.1051,0,0,0,0.1051,35.9163,1573857696,0,1,0.004366812227074,229,1
"Ecuador","EC050150",2016,705,0,NA,0,0,0,0,0,5,705,13,521,8,184,5,692,10,13,3,115060.019004059,0.762,0.1321,0.0606,0.483,72.4924,0,35.4693,0.1321,0,0,0,0.1321,35.6014,1623093153,0,0,0,229,0
"Ecuador","EC050151",2015,6,0,NA,0,0,0,0,0,5,6,13,4,8,2,5,5,10,1,3,6006.1591784954,0.765,0.0618,0.0813,0.3259,58.0247,0,57.44,0.0618,0,0,0,0.0618,57.5018,833592827,0,0,0,134,0
"Ecuador","EC050450",2015,190,0,NA,0,0,0,0,0,5,190,13,179,8,11,5,190,10,0,3,35176.407834053,0.765,0.0323,0.0711,0.2441,42.4837,0,24.263,0.0323,23.2345,23.2345,0,-23.2022,1.0608,1498812739.5,0,0,0,234,0
"Ecuador","EC050450",2016,153,0,NA,0,0,0,0,0,5,153,13,148,8,5,5,153,10,0,3,35696.7354703903,0.762,0.0739,0.0861,0.4633,53.4247,0,24.0514,0.0739,23.2345,23.2345,0,-23.1606,0.890799999999999,1546343315.5,0,0,0,234,0
"Ecuador","EC050450",2019,80,0,NA,0,0,0,0,0,5,80,13,62,8,18,5,80,10,0,3,37257.7183794021,0.76,0.1343,0.1572,0.8129,53.6873,0,24.0278,0.1343,23.2345,23.2345,0,-23.1002,0.927599999999998,1537073361.5,0,0,0,234,0
"Ecuador","EC050550",2015,90,0,NA,0,0,0,1,1,5,89,13,70,8,19,5,89,10,0,3,32895.580833435,0.765,0.3172,0.3331,1.4747,57.1429,0,28.6998,0.3172,0,0,0,0.3172,29.017,1048456442,0,0,0,159,0
"Ecuador","EC050550",2016,107,0,NA,0,0,0,0,0,5,107,13,92,8,15,5,106,10,1,3,33382.170636177,0.762,0.3211,0.3497,1.4888,56.8326,0,28.6214,0.3211,0,0,0,0.3211,28.9425,1081240058,0,0,0,159,0
"Ecuador","EC050550",2019,105,0,NA,0,0,0,0,0,5,105,13,70,8,35,5,103,10,2,3,34841.940044403,0.76,0.3651,0.4552,1.8544,54.7619,0,28.2535,0.3651,0,0,0,0.3651,28.6186,1076110437.5,0,0,0,159,0
"Ecuador","EC060150",2016,1434,0,NA,0,0,0,0,0,5,1434,13,1219,8,215,5,1420,10,14,3,179512.749771117,0.762,0.0016,0.016,0.0203,0,0,9.9387,0.0016,0,0,0,0.0016,9.9403,377051926.5,0,0,0,53,0
"Ecuador","EC060150",2019,17,0,NA,0,0,0,0,0,5,17,13,15,8,2,5,16,10,1,3,187362.663955688,0.76,0,0,0,0,0,10.5291,0,0,0,0,0,10.5291,373639701,0,0,0,53,0
"Ecuador","EC060151",2016,588,0,NA,0,0,0,2,2,5,586,13,462,8,124,5,539,10,47,3,3443.3199356079,0.762,0,0,0,0,0,16.5713,0,0,0,0,0,16.5713,155056705,0,0,0,22,0
"Ecuador","EC060155",2015,56,0,NA,0,0,0,0,0,5,56,13,29,8,27,5,53,10,3,3,4999.57335281372,0.765,0,0,0,0,0,9.2553,0,0,0,0,0,9.2553,143007666.5,0,0,0,19,0
"Ecuador","EC060350",2015,81,0,NA,0,0,0,0,0,5,81,13,74,8,7,5,81,10,0,3,19969.787317276,0.765,0.0895,0.1245,0.5224,58.3596,0,33.8034,0.0895,29.0435,29.0435,0,-28.954,4.8494,1110950275.5,0,0,0,172,0
"Ecuador","EC060350",2016,134,0,NA,0,0,0,0,0,5,134,13,131,8,3,5,134,10,0,3,20265.1793937683,0.762,0.1071,0.1505,0.6472,56.1358,0,33.3087,0.1071,29.0435,29.0435,0,-28.9364,4.3723,1146780282.5,0,0,0,172,0
"Ecuador","EC060350",2019,75,0,NA,0,0,0,1,1,5,74,13,65,8,9,5,74,10,0,3,21151.3556232452,0.76,0.0978,0.1297,0.5897,56.3218,0,32.5613,0.0978,29.0435,29.0435,0,-28.9457,3.6156,1135185385,0,0,0,172,0
"Ecuador","EC060650",2015,45,0,NA,0,0,0,0,0,5,45,13,43,8,2,5,45,10,0,3,28965.5243749618,0.765,0.0152,0.0274,0.1016,52.8302,0,38.0995,0.0152,28.9348,28.9348,0,-28.9196,9.1799,2464173767.5,0,0,0,348,0
"Ecuador","EC060650",2016,103,0,NA,0,0,0,0,0,5,103,13,99,8,4,5,103,10,0,3,29393.9809082031,0.762,0.0763,0.0373,0.2639,76.9497,0,38.2119,0.0763,28.9348,28.9348,0,-28.8585,9.3534,2542072901.5,0,0,0,348,0
"Ecuador","EC060650",2019,62,0,NA,0,0,0,0,0,5,62,13,57,8,5,5,62,10,0,3,30679.3505079269,0.76,0.1312,0.0323,0.2765,87.0775,0,38.1573,0.1312,28.9348,28.9348,0,-28.8036,9.3537,2515259521,0,0,0,348,0
"Ecuador","EC110150",2015,1352,0,NA,0,0,0,1,1,5,1351,13,1103,8,248,5,1266,10,85,3,201628.733442306,0.765,25.2058,1.1721,22.567,92.931,0,7.967,25.2058,0,0,0,25.2058,33.1728,1485648954.5,0,0,0,249,0
"Ecuador","EC110150",2016,1440,0,NA,0,0,0,0,0,5,1440,13,1166,8,274,5,1335,10,105,3,204611.215234374,0.762,25.3454,1.1301,22.4119,93.0166,0,8.3542,25.3454,0,0,0,25.3454,33.6996,1524269305.5,0,0,0,249,0
"Ecuador","EC110650",2015,58,0,NA,0,0,0,0,0,5,58,13,51,8,7,5,57,10,1,3,3738.34499263763,0.765,0,0,0,0,0,0.2672,0,23.3299,0,23.3299,-23.3299,-23.0627,602698639.5,0,0,0,104,0
"Ecuador","EC110650",2016,73,0,NA,0,0,0,0,0,5,73,13,71,8,2,5,72,10,1,3,3793.64240303039,0.762,0,0,0,0,0,0.2689,0,23.3299,0,23.3299,-23.3299,-23.061,618155199,0,0,0,104,0
"Ecuador","EC110650",2019,60,0,NA,0,0,0,0,0,5,60,13,58,8,2,5,59,10,1,3,3959.53463420868,0.76,0,0,0,0,0,0.2689,0,23.3299,0,23.3299,-23.3299,-23.061,606211179,0,0,0,104,0
"Ecuador","EC140150",2015,267,0,NA,0,0,0,0,0,5,267,13,210,8,57,5,263,10,4,3,19706.4650878906,0.765,43.1097,1.8681,53.3945,90.0923,0,0,43.1097,26.0584,26.0584,0,17.0513,17.0513,373224875.5,0,0,0,46,0
"Ecuador","EC140150",2016,458,0,NA,3,2,0,0,5,5,453,13,387,8,66,5,450,10,3,3,19997.9621076584,0.762,43.1659,1.7186,52.4126,90.2712,0,0,43.1659,26.0584,26.0584,0,17.1075,17.1075,383818897.5,0,0,0,46,0
"Ecuador","EC140150",2019,243,0,NA,2,0,0,11,13,5,230,13,186,8,44,5,218,10,12,3,20872.4531669616,0.76,45.6999,2.1296,54.2403,90.4597,0,0,45.6999,26.0584,26.0584,0,19.6415,19.6415,380859890,0,0,0,46,0
"Ecuador","EC140250",2015,52,0,NA,0,0,0,4,4,5,48,13,32,8,16,5,47,10,1,3,10333.8169045448,0.765,66.6007,1.2768,65.0002,92.2589,0,0.0313,66.6007,68.1945,0,68.1945,-1.5938,-1.5625,2437793545,0,0,0,339,0
"Ecuador","EC140250",2016,58,0,NA,0,0,0,0,0,5,58,13,26,8,32,5,54,10,4,3,10486.6741813659,0.762,65.7485,1.2637,65.4111,92.1085,0,0.0355,65.7485,68.1945,0,68.1945,-2.446,-2.4105,2504406249.5,0,0,0,339,0
"Ecuador","EC140350",2015,148,0,NA,0,0,0,0,0,5,148,13,117,8,31,5,146,10,2,3,4348.59582066535,0.765,71.1941,0.9441,43.2375,95.0793,0,12.6668,71.1941,29.4154,0,29.4154,41.7787,54.4455,1889305882.5,0,0,0,255,0
"Ecuador","EC140350",2016,286,0,NA,0,0,0,0,0,5,286,13,258,8,28,5,283,10,3,3,4412.92003388404,0.762,70.6486,0.9681,43.5755,95.008,0,13.0733,70.6486,29.4154,0,29.4154,41.2332,54.3065,1942348174.5,0,0,0,255,0
"Ecuador","EC140350",2019,233,0,NA,0,0,0,0,0,5,233,13,183,8,50,5,232,10,1,3,4605.89267354011,0.76,70.4782,1.0848,45.6592,94.7723,0,13.0743,70.4782,29.4154,0,29.4154,41.0628,54.1371,1920627452.5,0,0,0,255,0
"Ecuador","EC140550",2015,193,0,NA,0,0,0,0,0,5,193,13,169,8,24,5,192,10,1,3,3503.17155766487,0.765,77.7943,0.8372,40.1169,95.9288,0,1.6339,77.7943,11.9474,0.0522,11.8952,65.8469,67.4808,2035666194.5,0,0,0,259,0
"Ecuador","EC140550",2016,249,0,NA,0,0,0,0,0,5,249,13,243,8,6,5,249,10,0,3,3554.99029216766,0.762,76.6373,0.9206,42.1869,95.6556,0,2.0419,76.6373,11.9474,0.0522,11.8952,64.6899,66.7318,2094103891,0,0,0,259,0
"Ecuador","EC140550",2019,254,0,NA,0,0,0,1,1,5,253,13,244,8,9,5,253,10,0,3,3710.44649567604,0.76,76.8848,0.9306,43.3317,95.5489,0,1.8894,76.8848,11.9474,0.0522,11.8952,64.9374,66.8268,2073227626,0,0,0,259,0
